지역,기관,부서,항목1,항목2,상세,금액,예산서 사이트
서울,송파구청,민원행정과,201 일반운영비,01 사무관리비,영구 기록물 집중소독,"3,000,000",https://www.songpa.go.kr/book/selectBbsNttList.do?bbsNo=226&key=3746&searchCtgry=%EC%82%AC%EC%97%85%EC%98%88%EC%82%B0%EC%84%9C&
서울,송파구청,민원행정과,201 일반운영비,01 사무관리비,중요 종이기록물 전산화 사업 용역,"80,604,000",https://www.songpa.go.kr/book/selectBbsNttList.do?bbsNo=226&key=3746&searchCtgry=%EC%82%AC%EC%97%85%EC%98%88%EC%82%B0%EC%84%9C&
서울,송파구청,민원행정과,308 자치단체등이전,07 자치단체간부담금,서울시통합기록관관리 구비분담금,"144,582,000",https://www.songpa.go.kr/book/selectBbsNttList.do?bbsNo=226&key=3746&searchCtgry=%EC%82%AC%EC%97%85%EC%98%88%EC%82%B0%EC%84%9C&
서울,양천구청,민원여권과,201 일반운영비,01 사무관리비,중요기록물 전산화사업,"290,000,000",https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/List.do?cbIdx=421
서울,양천구청,민원여권과,201 일반운영비,01 사무관리비,종이문서관리시스템 유지보수,"12,458,000",https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/List.do?cbIdx=421
서울,영등포구청,민원여권과,201 일반운영비,01 사무관리비,기록관 향균소독 용역,"4,500,000",https://www.ydp.go.kr/www/selectBbsNttList.do?bbsNo=349&key=4191&
서울,영등포구청,민원여권과,201 일반운영비,01 사무관리비,"상시소독제 구입(200,000원*12월)","2,400,000",https://www.ydp.go.kr/www/selectBbsNttList.do?bbsNo=349&key=4191&
서울,영등포구청,민원여권과,201 일반운영비,01 사무관리비,기록관 DB 및 공개재분류,"208,000,000",https://www.ydp.go.kr/www/selectBbsNttList.do?bbsNo=349&key=4191&
서울,영등포구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수,"18,551,000",https://www.ydp.go.kr/www/selectBbsNttList.do?bbsNo=349&key=4191&
서울,용산구청,민원여권과,201 일반운영비,01 사무관리비,특수기록물 정리 사업,"50,000,000",https://www.yongsan.go.kr/portal/bbs/B0000035/list.do?menuNo=200921
서울,용산구청,민원여권과,207 연구개발비,02 전산개발비,중요기록물 전산화(DB구축) 사업(6차),"222,685,000",https://www.yongsan.go.kr/portal/bbs/B0000035/list.do?menuNo=200921
서울,용산구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수 등,"18,600,000",https://www.yongsan.go.kr/portal/bbs/B0000035/list.do?menuNo=200921
서울,은평구청,민원여권과,201 일반운영비,01 사무관리비,"문서고 상시소독약제 구매(42,000원*60개)","2,520,000",https://www.ep.go.kr/www/contents.do?key=651
서울,은평구청,민원여권과,201 일반운영비,01 사무관리비,문서고 일시/향균소독(4개소),"4,600,000",https://www.ep.go.kr/www/contents.do?key=651
서울,은평구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템 유지보수 분담금,"20,604,000",https://www.ep.go.kr/www/contents.do?key=651
서울,은평구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,통합기록관리시스템 검수 용역 분담금,"2,316,000",https://www.ep.go.kr/www/contents.do?key=651
서울,종로구청,민원여권과,201 일반운영비,01 사무관리비,기록물 소독 및 분진제거,"5,600,000",https://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000971&contentsDvCo=BG&menuId=1823&menuNo=1823
서울,종로구청,민원여권과,201 일반운영비,01 사무관리비,기록관 서고 상시소독제 구입,"2,000,000",https://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000971&contentsDvCo=BG&menuId=1823&menuNo=1823
서울,종로구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 S/W 유지보수,"18,600,000",https://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000971&contentsDvCo=BG&menuId=1823&menuNo=1823
서울,중구청,민원여권과,201 일반운영비,01 사무관리비,비전자기록물DB구축,"50,000,000",https://www.junggu.seoul.kr/content.do?cmsid=14364
서울,중구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,기록관리시스템 유지보수,"16,550,000",https://www.junggu.seoul.kr/content.do?cmsid=14364
서울,중랑구청,민원여권과,201 일반운영비,01 사무관리비,기록관 분진제거 및 항균소독,"2,596,000",https://www.jungnang.go.kr/portal/bbs/list/B0000232.do?menuNo=200430
서울,중랑구청,민원여권과,308 자치단체등이전,07 자치단체간부담금,서울시 통합기록관리시스템 자치구분담금,"18,600,000",https://www.jungnang.go.kr/portal/bbs/list/B0000232.do?menuNo=200430
서울,서울특별시교육청,총무과,210 운영비,null,기록물공개재분류용역비,"117,500,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,210 운영비,null,중요기록물전자화(DB구축) 사업,"890,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,210 운영비,null,보유목록관리프로그램(응용S/W)유지관리)(12개월),"20,004,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,210 운영비,null,"보존서고및정보자료실향균탈취제(50,000원*4개*5회)","1,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,210 운영비,null,"특수유형기록물관리시스템유지관리(917,000원*12월)","11,004,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,210 운영비,null,"기록물이관및재배치(24,500,000원*1식*2회)","49,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,430 유형자산,null,이동식서가구입설치,"78,300,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시교육청,총무과,210 운영비,null,"보존서고및정보자료실향균탈취제(50,000원*4개*5회)","1,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 남부교육지원청,null,210 운영비,null,(행지)보존서고소독비,"1,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 동부교육지원청,null,null,null,사업없음,null,https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 서부교육지원청,null,210 운영비,null,서고소독비,"1,500,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 북부교육지원청,null,210 운영비,null,기록물정리및폐기용역,"3,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 중부교육지원청,null,null,null,사업없음,null,https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 강동송파교육지원청,null,null,null,사업없음,null,https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 강남서초교육지원청,null,210 운영비,null, 중요기록물보존처리,"7,000,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 강남서초교육지원청,null,210 운영비,null,"기록물용역처리비(폐기,소독등)(1,250,000원*2회)","2,500,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 강서양천교육지원청,null,null,null,사업없음,null,https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 동작관악교육지원청,null,null,null,사업없음,null,https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
서울,서울특별시 성동광진교육지원청,null,210 운영비,null, 중요기록물소독비,"1,500,000",https://www.sen.go.kr/user/bbs/BD_selectBbsList.do?q_bbsSn=1477&q_bbsDocNo=&q_searchVal=2025&q_searchKeyTy=flctnColCn1___1001
대구,대구시청,총무과,201 일반운영비,01 사무관리비,"기록관리시스템백신소프트웨어라이선스
갱신구매","11,000,000",https://jumin.daegu.go.kr/budget/information/informationBudgetBill.do
대구,대구시청,총무과,201 일반운영비,01 사무관리비,"기록물 보존용 소모품 구입(보존약품(향균살충제)(22,000원*400개","20,000,000",https://jumin.daegu.go.kr/budget/information/informationBudgetBill.do
대구,대구시청,총무과,201 일반운영비,02 공공운영비,기록관리시스템소프트웨어유지관리,"20,000,000",https://jumin.daegu.go.kr/budget/information/informationBudgetBill.do
대구,대구시청,총무과,207 연구개발비,02 전산개발비,중요기록물전자화및정리사업,"250,000,000",https://jumin.daegu.go.kr/budget/information/informationBudgetBill.do
대구,군위군청,총무과,201 일반운영비,01 사무관리비,기록관유지소독약품구입,"7,000,000",https://www.gunwi.go.kr/ko/page.do?mnu_uid=164&code_uid=24
대구,군위군청,총무과,207 연구개발비,02 전산개발비,중요기록물 DB구축,"70,000,000",https://www.gunwi.go.kr/ko/page.do?mnu_uid=164&code_uid=24
대구,군위군청,총무과,201 일반운영비,01 사무관리비,기록관리시스템백신소프트웨어,"12,000,000",https://www.gunwi.go.kr/ko/page.do?mnu_uid=164&code_uid=24
대구,군위군청,총무과,201 일반운영비,01 사무관리비,표준기록관리시스템통합유지관리,"37,850,000",https://www.gunwi.go.kr/ko/page.do?mnu_uid=164&code_uid=24
대구,남구청,행정지원과,201 일반운영비,01 사무관리비,기록관리시스템 백신 갱신,"15,000,000",https://www.nam.daegu.kr/index.do?menu_id=00003471
대구,남구청,행정지원과,201 일반운영비,01 사무관리비,"문서고 소독 약제(41,500원*24개)","996,000",https://www.nam.daegu.kr/index.do?menu_id=00003471
대구,남구청,행정지원과,201 일반운영비,01 사무관리비,기록관리시스템 문서보안 SW 구입,"34,000,000",https://www.nam.daegu.kr/index.do?menu_id=00003471
대구,남구청,행정지원과,201 일반운영비,01 사무관리비,기록관리시스템 보존포맷 변환 SW 구입,"35,000,000",https://www.nam.daegu.kr/index.do?menu_id=00003471
대구,남구청,행정지원과,207 연구개발비,02 전산개발비,중요기록물 DB구축,"115,000,000",https://www.nam.daegu.kr/index.do?menu_id=00003471
대구,달서구청,총무과,201 일반운영비,01 사무관리비,"문서고 향균 및 방충제 구입(132,000원*12월)","1,584,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,201 일반운영비,01 사무관리비,문서고 일시 소독,"3,740,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,201 일반운영비,01 사무관리비,표준기록관리시스템전용바이러스백신프로그램구매,"15,000,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,201 일반운영비,01 사무관리비,기록관리시스템보존포맷변환서버H/W구입,"11,312,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,201 일반운영비,02 공공운영비,"표준기록관리시스템하드웨어유지관리비(800,000원*12월)","9,600,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,201 일반운영비,02 공공운영비,"표준기록관리시스템소프트웨어유지보수비(1,500,000원*12월)","18,000,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,201 일반운영비,02 공공운영비,보존포맷변환서버이전설치및운영체제 업그레이드(window서버2022버전),"6,400,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,207 연구개발비,02 전산개발비,"중요기록물DB구축(550원*100매*1,850권)","101,750,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달서구청,총무과,207 연구개발비,02 전산개발비,"제3,4기록관 정수점검(1,100원*25,700권)","28,270,000",https://www.dalseo.daegu.kr/index.do?menu_id=10000139
대구,달성군청,정보통신과,201 일반운영비,01 사무관리비,기록관리시스템유지보수,"21,970,000",https://dalseong.daegu.kr/index.do?menu_id=00001707
대구,달성군청,정보통신과,201 일반운영비,01 사무관리비,보존포맷변환시스템유지보수,"21,030,000",https://dalseong.daegu.kr/index.do?menu_id=00001707
대구,달성군청,정보통신과,207 연구개발비,02 전산개발비,"중요기록물DB구축(500원*200면*1,600권)","160,000,000",https://dalseong.daegu.kr/index.do?menu_id=00001707
대구,달성군청,정보통신과,207 연구개발비,02 전산개발비,"읍면기록물정리사업(1400원*40,000권)","56,000,000",https://dalseong.daegu.kr/index.do?menu_id=00001707
대구,달성군청,정보통신과,207 연구개발비,02 전산개발비,"기록관서가재배치(1,400원*20,000권)","28,000,000",https://dalseong.daegu.kr/index.do?menu_id=00001707
대구,달성군청,정보통신과,405 자산취득비,01 자산및물품취득비,기록관리시스템대용량이관파일송수신S/ W구매,"5,800,000",https://dalseong.daegu.kr/index.do?menu_id=00001707
대구,동구청,홍보전산과,201 일반운영비,01 사무관리비,기록관리시스템백신S/W갱신,"15,000,000",https://www.dong.daegu.kr/portal/contents/budgetList.do?mid=0503010000&seq=202502
대구,동구청,홍보전산과,201 일반운영비,02 공공운영비,기록관리시스템유지보수비,"20,000,000",https://www.dong.daegu.kr/portal/contents/budgetList.do?mid=0503010000&seq=202502
대구,동구청,홍보전산과,201 일반운영비,01 사무관리비,"기록물보존실상시소독약품비(27,000원*90개)","2,430,000",https://www.dong.daegu.kr/portal/contents/budgetList.do?mid=0503010000&seq=202502
대구,북구청,행정지원과,201 일반운영비,01 사무관리비,"문서고 환경소독(145,000원*12회)","1,740,000",https://www.buk.daegu.kr/index.do?menu_id=00000129
대구,북구청,행정지원과,201 일반운영비,02 공공운영비,표준기록관리시스템유지보수,"35,000,000",https://www.buk.daegu.kr/index.do?menu_id=00000129
대구,서구청,총무과,201 일반운영비,01 사무관리비,기록관 상시 소독 약품 구입,"3,800,000",https://www.dgs.go.kr/dgs/intro/page.php?mnu_uid=1284285&
대구,서구청,총무과,201 일반운영비,01 사무관리비,기록관일시소독비,"4,500,000",https://www.dgs.go.kr/dgs/intro/page.php?mnu_uid=1284285&
대구,서구청,총무과,201 일반운영비,01 사무관리비,표준기록관리시스템백신라이센스갱신,"15,000,000",https://www.dgs.go.kr/dgs/intro/page.php?mnu_uid=1284285&
